Majority protein IDs,Intensity MDAMB231 Biol. repl. 1,Intensity MDAMB231 Biol. repl. 2,Intensity MDAMB231 Biol. repl. 3,Intensity MDAMB231 Biol. repl. 4,Intensity LM2 Biol. repl. 1,Intensity LM2 Biol. repl. 2,Intensity LM2 Biol. repl. 3,Intensity LM2 Biol. repl. 4,Intensity BT549 Biol. repl. 1,Intensity BT549 Biol. repl. 2,Intensity BT549 Biol. repl. 3,Intensity BT549 Biol. repl. 4,Intensity Hs578T Biol. repl. 1,Intensity Hs578T Biol. repl. 2,Intensity Hs578T Biol. repl. 3,Intensity Hs578T Biol. repl. 4,Intensity HCC1419 Biol. repl. 1,Intensity HCC1419 Biol. repl. 2,Intensity HCC1419 Biol. repl. 3,Intensity HCC1419 Biol. repl. 4,Intensity HCC1954 Biol. repl. 1,Intensity HCC1954 Biol. repl. 2,Intensity HCC1954 Biol. repl. 3,Intensity HCC1954 Biol. repl. 4,Intensity JIMT1 Biol. repl. 1,Intensity JIMT1 Biol. repl. 2,Intensity JIMT1 Biol. repl. 3,Intensity JIMT1 Biol. repl. 4,Intensity SKBR3 Biol. repl. 1,Intensity SKBR3 Biol. repl. 2,Intensity SKBR3 Biol. repl. 3,Intensity SKBR3 Biol. repl. 4,Intensity MCF7 Biol. repl. 1,Intensity MCF7 Biol. repl. 2,Intensity MCF7 Biol. repl. 3,Intensity MCF7 Biol. repl. 4,Intensity MCF10A Biol. repl. 1,Intensity MCF10A Biol. repl. 2,Intensity MCF10A Biol. repl. 3,Intensity MCF10A Biol. repl. 4,ANOVA Significant
,MDAMB231,MDAMB231,MDAMB231,MDAMB231,LM2,LM2,LM2,LM2,BT549,BT549,BT549,BT549,Hs578T,Hs578T,Hs578T,Hs578T,HCC1419,HCC1419,HCC1419,HCC1419,HCC1954,HCC1954,HCC1954,HCC1954,JIMT1,JIMT1,JIMT1,JIMT1,SKBR3,SKBR3,SKBR3,SKBR3,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
A0AV96,-5.038834,-3.986352,-4.544165,-5.374271,-4.089777,-5.155844,-6.307967,-3.654774,-3.016685,-3.904894,-4.683977,-5.19779,-2.474565,-3.512304,-5.0901,-4.276767,-1.291065,-1.163082,-1.055529,-0.8042049,-4.196039,-1.29472,-2.985445,-2.122196,-3.7852,-5.704521,-4.388334,-4.077724,-5.250868,-4.538675,-4.523008,-4.178017,-5.271144,-4.471519,-4.402884,-4.713891,-5.23321,-5.840878,-6.311197,-4.427873,
A0AVT1,2.329178,2.722326,2.280277,1.940212,0.6400928,0.615551,-0.6046085,0.4359455,0.9261379,-0.1046219,0.6424637,0.6215115,-0.8284798,-1.822271,-0.8953991,-2.057442,2.423769,1.96909,2.196115,2.294188,1.637709,1.335121,1.569822,0.5569134,3.23106,3.041494,2.192513,3.290445,1.663603,0.7158165,0.8940811,1.179468,0.4625111,0.829813,-0.1581402,0.1162891,1.499414,1.431364,1.031818,1.096615,+
A0FGR8,-2.063631,-0.7070637,-0.003002167,-0.01368141,-3.620893,-2.803946,0.02921867,-0.5307579,-0.7842827,0.8184013,0.9112072,1.023252,-0.8819351,-1.271914,-1.460901,0.1158028,0.5954266,1.036135,1.138988,0.6308613,2.166004,1.517731,1.773615,1.785376,1.51943,0.9816456,1.496307,1.905012,0.9648685,-0.7881374,0.8925037,0.7641163,-1.670618,0.5445023,0.4838638,0.1013336,2.839022,2.652334,3.157084,3.267723,+
A0MZ66,-0.5915794,-0.507515,-0.1327839,-0.2207909,-3.592348,-3.675846,-3.038179,-4.115587,-4.688582,-2.993774,-2.284082,-5.066185,-3.526029,-5.43963,-3.941572,-4.528515,1.771318,2.388407,1.928585,2.04834,1.63167,1.575132,1.850277,2.066368,-2.04027,-2.71949,-6.43644,-2.724531,1.787001,1.356955,1.874619,1.412449,2.851437,2.156069,2.451405,2.260092,-4.075993,-0.05666924,-0.798048,-0.5224037,+
A1A4S6,-4.639192,-4.228792,-4.567204,-1.98974,-2.912888,-2.380011,-4.89719,-4.740962,-3.493009,-4.071539,-3.948904,-4.247681,-4.969479,-5.539767,-4.173846,-4.615944,-3.417564,-2.497143,-2.603142,-3.4097,-4.306818,-5.554629,-4.563295,-4.084889,-1.591816,-1.128691,-1.468107,-3.056978,-1.697695,-6.970569,-4.777721,-2.647593,-4.873592,-4.406514,-4.322394,-3.730762,-4.632474,-4.128419,-6.076505,-4.484611,
A1A5C7,-5.004583,-4.207586,-5.732499,-4.136099,-4.947325,-4.497924,-5.109229,-3.882881,-4.229362,-3.682237,-4.368837,-5.595761,-5.311721,-4.665482,-4.806373,-4.467759,0.607338,0.9542542,0.7105541,1.042019,-6.386881,-4.565796,-5.883715,-5.566574,-5.402764,-5.060952,-3.956467,-4.903333,-4.272996,-5.708039,-4.273546,-5.541093,-3.019147,-4.137958,-4.361825,-5.474944,-5.876393,-2.741478,-4.568888,-4.02474,
A1KXE4,-5.87329,-5.714087,-3.773454,-4.912891,-4.402356,-5.45928,-5.48965,-3.846807,-1.610899,-1.279631,-0.985405,-1.290024,-4.868961,-4.86952,-7.047336,-3.620809,-1.896713,-1.985666,-2.096916,-1.580128,-1.760147,-2.094803,-1.389919,-1.884529,-4.307729,-4.158008,-4.950852,-3.680617,-1.261242,-5.081281,-0.7966728,-1.213356,-4.270529,-3.869233,-3.120091,-4.295322,-3.951278,-5.318565,-3.837107,-6.263636,
A1L0T0,-0.7678623,-1.656033,-1.615116,-1.456362,-2.18857,-3.090194,-4.849263,-3.746705,0.6175594,0.8095646,0.08385849,1.489798,-4.636565,-5.061397,-4.828358,-6.120948,1.262074,1.368761,1.868906,-0.6621799,0.9463539,0.2507,0.398922,0.5476208,-0.7578449,-4.279892,-1.901695,-1.620255,-1.614975,-0.5432739,-0.6712227,-0.08281326,-3.147537,-0.8256569,0.4244461,-2.304306,-1.344032,0.4206924,-0.1825027,0.9577904,
A1L170,-1.313307,-4.898035,-1.635229,-1.674158,-3.547882,-5.335241,-5.279898,-4.625327,-5.678612,-3.045616,-5.466249,-5.293599,-5.333804,-7.055813,-5.56484,-5.129099,-5.497404,-4.829679,-5.428632,-5.347731,-5.042789,-5.632226,-3.959797,-6.722614,-2.948923,-2.068958,-4.905591,-4.360237,-6.274274,-6.362743,-5.349664,-5.185839,-4.699155,-5.359982,-5.011672,-3.824875,-5.711357,-4.988605,-4.179064,-5.065965,
A1L390,1.614485,-3.102335,-6.000761,-3.980358,-0.4061852,-5.560531,-4.282206,0.4106331,-0.09303665,-3.900475,-5.337263,0.8468742,-7.545635,-6.919206,-3.420267,-6.485882,-3.841037,-4.137484,-5.225073,-3.293551,-5.92402,-5.377128,-3.217958,-4.949105,-5.905079,-5.066634,-3.703594,-5.46622,-4.49863,-5.569633,-6.011457,-4.301876,0.1217213,-1.847328,0.8745766,-3.714466,-3.717428,-5.374467,-4.543027,-4.755383,
A1X283,-0.1366272,-0.4086285,-0.2296257,-5.113876,-2.008371,-1.606152,-1.516333,-0.9014454,-1.908012,-3.717926,-2.537659,-4.707929,-5.678512,-4.715524,-4.50714,-2.246113,-5.013813,-5.359568,-5.434824,-5.105175,-3.034544,-7.243468,-3.130981,-2.511602,-4.020304,-5.052977,-5.263159,-3.981176,-4.604653,-5.756755,-5.625444,-4.957802,-4.513628,-5.318824,-5.137701,-4.280673,-4.616152,-7.254871,-5.653862,-2.867563,+
A2RRP1,-3.709881,-5.482143,-4.016567,-3.595282,-3.849723,-4.398305,-5.0245,-3.995381,-4.792354,-3.877059,-5.492373,-3.653416,-4.218379,-5.028346,-4.226126,-3.996731,-1.665482,-2.541422,-1.750641,-2.320581,-4.49099,-3.202364,-4.088221,-3.263504,-5.309498,-4.683749,-4.281174,-4.178791,-2.490423,-5.674091,-6.561481,-4.942625,-4.89101,-5.003454,-4.01625,-3.420916,-3.107214,-3.690641,-2.079605,-3.50037,
A4D1S0,-4.316423,-3.110487,-4.682787,-5.978843,-4.484389,-5.736302,-4.875722,-4.032176,-4.588199,-4.306847,-4.482132,-4.962053,-4.155963,-5.079747,-4.26301,-5.328864,2.207312,1.888458,1.957663,2.226103,-3.790094,-3.978691,-4.050459,-6.342588,-2.116484,-4.96684,-6.589674,-1.523726,0.840271,1.026711,1.224236,1.000334,-4.724153,-4.135752,-5.602856,-6.647367,-3.656291,-4.846295,-3.722011,-3.903418,+
A5D8V6,-1.672812,-1.389835,-1.261694,-4.16287,-1.299854,-0.5535336,-0.866354,-0.3288631,0.8010693,0.1489754,0.8920689,0.3935795,-1.016331,-3.67548,-2.625549,-4.21478,0.0547123,-0.005132675,-0.1305752,0.1176987,-0.5947094,-0.8156357,-0.6690483,-0.531065,-0.6265678,-0.5920467,-1.917692,-2.943533,1.81986,1.285946,2.819313,2.90065,-0.02579308,-1.991236,0.5424042,0.7970848,-5.453201,-4.978576,-3.329626,-3.626894,+
A5PLN9,-3.083294,-4.278869,-5.712997,-4.776231,-5.463277,-4.028371,-5.382032,-4.978375,-4.275649,-3.734217,-3.570626,-5.062743,-3.690264,-5.378812,-5.238127,-3.519253,0.7239685,0.6225204,0.5760899,-0.17519,-3.388634,-2.658463,-2.268429,-4.223633,-4.777433,-4.376292,-2.853857,-4.246881,-5.633174,-3.846603,-5.174594,-6.073122,-3.254617,-6.465961,-5.266106,-2.335575,-3.782746,-5.776616,-4.314247,-1.688978,
A5YKK6,-1.597736,-1.590403,-1.186123,-1.095457,-4.326922,-5.712433,-5.001132,-4.180463,-2.461937,-2.087601,-3.292593,-1.932648,-5.391975,-3.855547,-2.887636,-5.043888,0.9473495,0.5003414,0.9134998,0.8169918,-0.1362,-0.2179394,-0.1396523,0.2676468,1.498236,2.022268,1.241194,0.8911114,0.4650078,-0.6699905,0.2050533,0.100893,0.230444,0.1071453,-0.2522202,-1.460888,-0.3187771,0.4250011,-0.06899261,-0.3333473,+
Q9GZQ8;A6NCE7,-0.003902435,-0.1132584,0.1414814,0.02858734,-2.161301,-1.998512,-0.8842793,-2.117048,4.137295,3.711578,3.367279,3.963781,-4.910426,-4.937611,-4.841633,-4.411816,-4.40938,-4.571909,-3.114372,-5.433685,-3.364141,-2.463978,-2.446024,-3.221855,-0.6006088,-0.7040024,-2.353165,-2.466269,-4.826487,-3.226851,-6.378763,-4.290091,-4.463066,-6.354869,-5.68159,-4.214173,-5.659634,-3.359219,-4.680378,-4.533189,+
A6NCS6,-0.5353394,-2.175274,-2.832876,-2.673164,-4.733753,-6.422575,-4.894585,-4.169739,-3.881873,-4.025231,-4.062566,-4.637894,-5.277348,-5.98239,-2.73748,-4.347623,0.2359352,0.7441597,-0.5052891,-1.122026,-2.776841,-5.558952,-3.633994,-5.965867,-4.09584,-3.343796,-6.107354,-4.963475,-3.256237,-1.674809,-2.512691,-2.577736,-3.404932,-4.778785,-5.459549,-4.744362,-2.675326,-5.45339,-4.534668,-4.563297,
A6NDB9,-3.579756,-4.911801,-6.549299,-3.194558,-4.759436,-4.690438,-4.772526,-4.072062,-4.669732,-5.851992,-4.534596,-3.529952,-4.287901,-4.048572,-5.571802,-5.515009,-4.958305,-4.661915,-4.847234,-5.328886,-4.886474,-4.486702,-6.471792,-3.966736,-3.351816,-1.260569,-1.599308,-1.577446,-6.74642,-6.099236,-4.050039,-3.768084,-2.858185,-0.3456879,-0.3927937,-0.4793663,-4.283689,-5.297139,-4.337867,-4.449292,+
A6NDG6,-5.321799,-2.056219,-2.345743,-2.855719,-4.871897,-5.163953,-3.380715,-4.132289,-1.604414,-3.729576,-3.297091,-2.702696,-5.826928,-4.002179,-4.003209,-4.948074,-1.46344,-1.358656,-0.5367584,-1.366991,-0.9420776,-1.05427,-1.00482,-1.597675,-1.23876,-0.5047016,-1.974943,-2.820101,0.2918072,0.138134,0.1015949,0.169735,-1.879801,-0.8029079,-3.078846,-2.764338,-5.685216,-5.085495,-2.358358,-2.60219,+
A6NHR9,-5.349912,-4.674545,-4.925811,-4.46979,-6.097042,-3.983007,-5.914863,-4.217846,-3.989209,-5.343728,-4.52901,-4.501896,-1.867512,-1.319386,-0.8762302,-0.6903248,-2.763908,-3.025166,-3.400145,-2.38225,-1.570982,-1.848684,-1.438471,-1.480278,-0.9210796,-0.9918327,-4.202832,-5.349262,-2.74658,-2.083838,-1.544844,-1.661503,-5.314532,-0.1371212,-0.2284641,-0.1170387,-1.248764,-0.3165569,-1.251387,-0.8959904,+
A6NKT7;Q7Z3J3,-2.86584,-2.279253,-1.913387,-5.021394,-4.835628,-4.467341,-3.622782,-5.203158,-4.981682,-5.06993,-4.176878,-4.51669,-5.248186,-3.077311,-4.700987,-5.164045,-2.317545,-2.88344,-2.264887,-4.837956,-2.355549,-2.084898,-1.693113,-2.06378,-3.925425,-1.53356,-5.032549,-4.28966,-5.283517,-3.45001,-1.928905,-5.09411,-1.881134,-1.327999,-1.954248,-4.825579,-2.297047,-4.027779,-1.525486,-4.215283,
A6ZKI3;Q17RB0,-4.866492,-6.101069,-4.868183,-3.946944,-3.502027,-4.078952,-6.061,-5.681232,1.717241,1.618586,1.170948,1.20174,-5.031799,-4.927089,-5.642086,-4.190016,-4.871164,-6.456959,-3.162154,-4.920272,-3.911241,-6.131773,-5.413882,-4.779189,-5.653029,-4.89804,-6.199588,-4.564977,-6.079931,-5.309751,-4.42287,-3.42061,-4.457852,-5.292113,-4.44986,-4.704607,-4.267669,-4.98844,-5.932148,-3.249346,
A7KAX9,-4.59966,-4.132319,-4.673673,-5.436643,-5.778734,-4.787827,-3.52599,-5.981024,-4.444351,-4.781283,-3.894678,-4.892636,-4.318377,-5.572388,-4.839867,-4.799851,-3.327015,-1.131235,-3.487972,-1.986666,-4.419731,-5.197847,-5.023975,-4.066673,-4.236183,-5.157434,-5.186377,-6.053903,-0.876749,-1.701529,-1.895855,-2.030832,-5.205262,-3.735298,-5.501297,-4.856253,-3.992695,-1.578529,-5.165787,-5.443268,
A8K2U0,-4.763403,-3.081383,-3.070217,-2.460356,-5.083065,-3.663004,-5.799517,-1.368729,-0.9860916,-0.1267662,-0.2820473,-0.168354,-1.550089,-0.9880371,-1.275503,-2.004164,-2.421282,-1.529037,1.204012,-1.569025,0.8929501,-4.817605,-2.623997,-1.813984,-0.1704445,-0.6357651,0.460865,-1.94216,-1.538904,-2.308815,-1.932487,-2.051035,-1.928833,-0.6395531,-1.49721,-0.2628002,0.5805759,1.6294,1.669157,1.312311,+
A8MVW0,-3.69734,-4.69629,-4.157993,-4.464634,-3.859509,-3.644958,-3.530598,-3.520626,-2.403244,-4.676509,-4.356706,-4.614718,-3.49345,-3.891241,-2.86705,-5.266123,-2.45323,-2.906933,-2.681322,-2.41025,-1.292423,-3.066349,-3.693777,-2.406532,-0.9717884,-2.276142,-6.511954,-1.790192,-3.202896,-4.151205,-3.426533,-3.505884,-0.5793228,-1.069168,-1.701702,-1.521019,-3.664005,-5.759477,-1.887028,-3.951983,+
P62308;A8MWD9,-1.230091,-1.256792,-1.774799,-5.682827,-4.971896,-4.594545,-4.478756,-5.878232,-0.6608582,-1.00882,-5.761036,-2.246096,-2.309961,-6.201087,-4.288427,-3.86395,-0.5153465,-0.82057,-0.6938725,-0.5025387,0.6520805,-4.515252,-1.308542,-2.021515,2.480173,2.811607,1.598923,-0.4538708,-0.3881702,-0.8337841,-0.3289585,1.557066,-4.350391,1.193909,1.42762,-3.637855,-3.908992,-1.970816,-0.4246178,-3.057869,+
B2RUZ4,-4.672959,-4.305401,-4.675278,-5.066065,-5.851594,-4.251204,-4.959658,-4.316246,-5.056015,-4.81566,-4.028054,-4.488423,-4.251668,-3.495275,-5.126902,-5.674282,-2.458048,-2.647978,-2.643646,-2.565081,-5.982145,-6.125428,-5.325892,-6.493271,-3.697558,-5.397787,-4.991542,-4.744437,-4.219616,-3.070532,-3.146338,-2.895792,-4.498982,-4.291591,-5.159883,-3.789288,-4.905406,-5.418417,-5.392772,-4.861742,
C9J7I0,-0.1380959,-0.2317696,-0.5162659,-0.5508404,0.005285263,-0.03677177,0.2165661,0.05577469,-0.06371498,-0.1037006,1.161654,1.499844,-4.162911,-4.410953,-6.98228,-4.79355,-2.130157,-0.4647675,-1.237051,-0.7977104,-3.611923,-2.605291,-1.53462,-1.168516,-4.212915,-3.165421,-3.198084,-4.956129,0.9013252,-0.3206272,1.033707,0.9648762,-1.765142,-1.333086,-0.6310329,-0.6136646,-3.655902,-2.72914,-4.495986,-3.921827,
Q13765;E9PAV3,1.245726,1.222002,1.420769,1.340408,1.211176,0.8940601,1.013361,0.9876595,0.04006004,-0.3435192,0.4688148,0.6165714,-4.232042,-2.693661,-0.2304554,-0.2906322,0.5962181,1.385839,0.7663918,0.7861919,2.036278,2.059662,2.514317,2.687994,1.94813,2.334127,2.544077,2.209755,2.136631,1.877176,1.831587,1.675947,-0.5200615,-0.06547165,0.7435265,0.1267242,0.08732033,0.7729187,-0.07255363,-0.5206738,+
O00115,-4.129228,-5.013803,-5.026418,-5.028349,-4.266179,-4.812242,-4.430574,-4.921705,-3.890965,-3.354427,-5.836137,-2.650923,-2.106529,-5.507588,-3.530592,-3.417276,-0.224575,-0.5842648,-0.2207108,-0.001148224,-2.969101,-5.018257,-4.711402,-5.564561,-1.37492,-0.8365726,-5.417429,-1.618116,-2.288578,-1.858492,-2.995354,-1.771845,0.4307442,0.4801121,0.6291142,0.5963211,-5.232705,-4.391563,-3.737249,-5.177636,+
O00116,-4.067503,-4.758832,-2.306604,-1.429277,-4.499274,-4.681503,-3.916315,-5.090902,-2.377926,-4.234128,-5.352649,-1.844997,-5.283851,-3.368258,-4.058526,-5.162746,-1.219072,-0.9302826,-0.689806,-0.9867973,-0.7367287,-1.747644,0.03266335,-0.5732803,0.6622143,0.2439804,0.4038963,-0.2592258,-1.684132,-5.884836,-5.328176,-6.74565,-3.110119,-4.656662,-0.06168365,-3.537543,1.103552,0.189764,2.940918,1.977339,+
O00139,-1.804663,-0.9979744,-1.586584,-1.131613,-1.719183,-5.875303,-2.41453,-2.704767,0.1522369,-2.240007,-1.499571,-1.692293,-5.555809,-5.224442,-4.848807,-4.103162,-4.588344,-2.699995,-2.7827,-4.835494,-2.480003,-3.200804,-2.199532,0.1599045,1.960594,-0.2267723,1.097383,1.828684,-1.884045,-1.717022,-2.168474,-0.8251476,-0.340107,-0.5631084,-1.050756,-0.9009438,-5.17203,-0.07067108,-0.8021297,-1.869049,
O00148,-1.462498,0.3540039,-0.05600739,-0.1907482,-2.481622,-4.120855,-4.893444,-4.42346,-4.910903,-4.557165,-3.882531,-3.703302,-4.714824,-2.187365,-2.084768,-3.313173,-2.291504,-1.4331,-2.138153,-1.780514,0.3495255,0.03899765,-2.369444,0.2539272,-2.143517,-1.222052,-1.500391,-0.1931381,-0.6007633,-5.028916,-1.363743,-3.284222,0.7795086,0.5947781,0.6010685,0.8407059,-2.4112,-1.519579,0.1156883,-6.082752,+
O00151,2.177746,2.023523,2.046005,1.359221,1.698294,1.941055,1.445843,2.168098,0.4230804,-1.323227,-1.952518,-3.339603,0.4566574,0.06889343,0.07497215,0.04130745,0.02607536,-0.5845528,0.6830616,-0.7481194,2.198513,2.830551,3.138342,2.969641,2.238718,1.474039,1.309868,2.656836,1.419403,1.842062,1.605053,1.517075,-0.2845173,-1.026617,-0.9424915,-1.734646,3.221973,2.795788,2.06555,2.503107,+
O00154,1.775251,1.489582,1.756063,1.102854,2.384342,1.981131,1.723515,2.103298,2.43959,2.306307,1.736437,1.670233,3.213255,2.441154,2.739336,2.718092,2.377905,2.520435,2.754164,2.501122,3.376219,3.344139,3.209991,3.22072,3.758764,3.988651,4.467205,4.216446,3.742599,3.288164,3.463627,3.184406,-5.466249,-0.8509941,-2.530487,-1.425404,1.087894,2.125393,3.325672,2.80982,+
O00159,6.239664,6.236401,6.065027,6.218069,6.031595,5.903072,6.073246,6.147686,4.578665,4.508627,4.783438,4.692932,3.577566,2.925924,2.75279,2.415272,6.509508,6.784184,6.726229,6.759008,5.825098,5.270399,5.268377,5.126009,4.81863,4.72143,4.341093,4.340107,7.755268,7.523811,7.248539,7.285582,7.392521,7.11237,6.882946,7.124207,4.623447,4.857271,5.432856,4.740982,
O00161,3.572468,3.983318,3.812439,3.729725,2.62425,2.793028,2.736534,2.989599,0.6963711,0.9022217,1.78347,1.195572,2.241636,2.766582,2.37763,1.841141,4.125296,4.715191,4.51556,4.383501,2.098576,1.141558,2.011213,2.075552,0.8407879,-0.08080482,-1.29664,0.09123611,3.938215,3.313139,4.370508,3.823952,3.226881,3.503704,3.636351,2.96311,1.434597,1.81605,1.222027,-1.643436,
O00170,-0.9873047,-1.947561,-0.2217407,-0.1302032,1.700294,1.25668,1.341824,1.274605,-0.5926628,-0.5117416,-1.017248,-0.9912777,-0.8823967,-0.9377213,-1.424482,-1.483311,2.865637,2.936403,1.777332,2.681234,0.2187824,0.4262295,0.4130898,-0.5650749,0.920908,-0.003763199,-0.358326,0.5633755,0.9505882,0.5970287,0.9884109,0.3821411,1.132174,1.117373,1.376402,0.984375,-4.20747,-1.784386,-0.9605045,-1.173592,+
O00178,-4.588624,-3.13513,-4.430802,-3.294338,-3.854349,-5.126585,-4.673934,-3.612898,-2.652288,-5.331025,-5.103076,-2.372347,-4.778927,-4.378968,-3.645819,-4.055834,-2.389557,-1.93808,-1.953695,-3.831511,-1.349859,-1.7815,-2.899794,-2.459276,1.109694,0.5304413,0.2470589,0.3621235,-2.303413,-1.750303,-2.998806,-3.808924,-4.486372,-4.723894,-6.026897,-3.423006,-4.243718,-2.577526,-3.893887,-1.753931,+
O00186,2.626247,1.708094,1.779259,1.86083,2.656548,2.501154,2.055471,2.447092,2.437248,2.227367,1.909988,1.743242,1.606405,1.712145,1.619686,1.750381,4.075481,4.509197,4.295809,4.466463,2.968395,2.551773,2.917421,2.948851,0.9898109,0.679327,0.6030731,0.5010357,3.884726,3.880232,3.746681,3.930592,4.378044,3.641966,3.981203,3.892281,2.568554,1.864897,1.878651,1.993792,+
O00192,-4.643316,-5.913139,-3.921775,-4.321049,-3.787592,-4.791214,-3.798012,-6.005872,-4.135714,-4.37013,-3.551535,-5.490084,-4.439082,-3.855022,-4.103318,-5.652763,-3.778888,-1.092348,-5.580194,-1.374393,-7.980341,-4.72217,-3.04052,-4.975485,-3.697065,-4.062348,-6.597785,-5.003516,-4.686623,-5.765185,-5.254692,-5.029158,-1.728373,-1.091925,-1.10129,-0.9634552,-3.54569,-4.418922,-2.710966,-4.816287,+
O00194,-3.869544,-4.310488,-4.769804,-4.127029,-4.58683,-4.51483,-4.289248,-5.158073,-1.08247,-0.4787674,0.2498245,0.3425331,-3.397578,-4.452283,-4.597267,-5.391593,-0.6931267,0.232893,0.008556366,0.1893291,-1.235138,-2.163277,-1.70715,-2.334461,-1.443069,-0.2536259,-0.6343212,-0.5741081,-0.5059128,-0.7661572,-4.862265,-0.7598095,-4.582575,-0.2205124,-0.686224,-0.1876774,-4.341843,-1.318272,-0.4313755,-1.670996,+
O00203,0.7733517,0.2297878,0.215414,-0.06241798,-0.7246189,-3.356291,-2.321543,-1.627428,-1.130013,-0.8936119,-5.539682,0.3342915,-4.80146,-1.654919,-1.70606,-1.323092,1.456352,1.582109,0.7180309,1.447886,1.109888,0.01166344,-0.0251503,0.6068249,0.6551037,0.7595673,1.091612,-0.1798782,1.238815,0.6306591,0.4786434,1.219011,0.9491711,0.6458797,-5.136855,-1.420723,-0.06590652,0.7327099,1.101965,-0.2078953,+
O00212,-1.095461,-0.9888096,-0.8160515,-1.124126,-5.176148,-5.402296,-3.936668,-5.073398,-6.195047,-6.080912,-4.769386,-4.058375,-3.737801,-4.200773,-4.533283,-5.67452,0.8817577,0.06443596,0.6108112,0.8441849,-1.487541,-4.213228,-3.577282,-4.167143,-4.752831,-2.056276,-2.920591,-4.170925,-5.096364,-4.860854,-5.203846,-5.904621,-1.416029,-2.00864,-2.571117,-2.692995,-2.294508,-3.636301,-2.202229,-4.893694,
O00214,-0.9118233,-1.399559,-3.786821,-2.122997,0.2294521,-1.427349,0.4850407,0.5697937,-1.146822,-4.48376,-4.336701,-3.812582,-3.660175,-3.341243,-4.742494,-3.49428,0.8523808,1.79376,1.542671,1.624506,0.2508106,0.5854187,0.1034546,-0.9594841,-6.173003,-4.612339,-1.626308,-3.935044,0.7644844,-0.3598213,-1.056789,-0.4472656,-4.588583,-3.995339,-5.913724,-4.271074,-3.936639,-2.770916,-5.100214,-4.773856,+
O00217,-4.532763,-5.667387,-3.253214,-5.091441,-4.342763,-5.027172,-4.015837,-5.24475,-4.599461,-4.599771,-3.319781,-4.184836,-5.875997,-4.312361,-5.196162,-4.438793,-1.845901,-2.909338,-2.304865,-2.698006,-1.426741,-5.455331,-4.207204,-5.400892,-4.240557,-4.324576,-4.897884,-2.092548,-2.973294,-4.203487,-4.79419,-5.146489,-0.5667915,-0.3421059,-1.41894,-1.004658,-1.898781,-4.083405,-3.738756,-5.738017,+
O00221,-4.313136,-4.349662,-3.607348,-5.969227,-3.742865,-6.090236,-4.633868,-4.404938,-3.31109,-5.189314,-5.324078,-4.086232,-4.900981,-5.440474,-3.673574,-3.837438,-3.979508,-4.009245,-3.160337,-4.421814,-7.368351,-5.609215,-3.744979,-5.437328,-2.248547,-2.264446,-2.35557,-3.906982,-5.907888,-5.365068,-5.006531,-4.455518,-5.493958,-3.554011,-4.654658,-3.538914,-4.995299,-4.343253,-4.780478,-2.354439,
O00231,4.107679,4.313053,4.048574,4.038071,2.734245,2.701395,1.797056,2.441774,2.531534,2.824244,2.455839,2.873499,3.949453,3.941879,3.828135,3.700064,5.201756,4.582361,4.818617,4.748674,4.569216,4.63513,4.668217,4.597132,5.19253,5.278528,4.954121,4.940296,3.952873,3.566463,3.784859,3.969965,4.015469,4.741602,3.93251,4.049278,3.664877,4.076117,3.301083,3.744133,+
O00232,3.119081,3.023399,2.822561,2.809938,-0.5685387,0.3472557,-0.1057205,0.7294827,0.4767532,0.59692,1.090353,1.181009,1.882534,2.18244,2.457804,1.812735,4.028486,3.672373,3.542927,3.78039,3.781462,3.446976,3.303766,3.379774,3.67573,3.762724,3.50555,3.378429,3.054604,1.951452,2.309797,2.459873,2.141447,2.61937,2.684988,2.34996,1.311388,2.4084,1.656864,1.369362,+
O00233,0.09560585,-0.09405708,0.2423573,0.1250267,0.6035385,-0.2532845,0.2565804,-0.4449654,-5.067789,-4.269255,-0.9018745,-1.669819,-0.6124954,0.4411716,-0.3325176,0.1935139,-0.08691216,-0.7171288,-0.2792721,0.1822777,0.05849648,0.8719749,2.313585,0.8341637,-0.6648407,0.5976105,-5.394277,1.151276,-1.473494,-1.810421,-0.4688511,-0.8934975,0.7095318,0.7186489,0.99823,0.8511162,0.9865608,0.6017208,-0.1702995,1.090279,
O00244,1.357998,1.387794,0.990881,0.9343052,2.935156,2.742016,2.519625,2.521618,0.8858681,0.7432632,0.6795425,0.08408928,-0.3926067,-0.354414,-4.625767,-0.3050079,1.473984,1.619047,1.802544,1.487001,-0.3915615,-0.8924274,-0.002225876,-0.3023701,1.210646,0.4520149,1.002708,1.191452,3.267994,4.107056,3.878895,3.485888,1.076929,0.1011276,-0.03029251,-0.5127068,1.463882,1.172035,0.7190628,1.179817,
