Majority protein IDs,Intensity MDAMB231 Biol. repl. 1,Intensity MDAMB231 Biol. repl. 2,Intensity MDAMB231 Biol. repl. 3,Intensity MDAMB231 Biol. repl. 4,Intensity LM2 Biol. repl. 1,Intensity LM2 Biol. repl. 2,Intensity LM2 Biol. repl. 3,Intensity LM2 Biol. repl. 4,Intensity BT549 Biol. repl. 1,Intensity BT549 Biol. repl. 2,Intensity BT549 Biol. repl. 3,Intensity BT549 Biol. repl. 4,Intensity Hs578T Biol. repl. 1,Intensity Hs578T Biol. repl. 2,Intensity Hs578T Biol. repl. 3,Intensity Hs578T Biol. repl. 4,Intensity HCC1419 Biol. repl. 1,Intensity HCC1419 Biol. repl. 2,Intensity HCC1419 Biol. repl. 3,Intensity HCC1419 Biol. repl. 4,Intensity HCC1954 Biol. repl. 1,Intensity HCC1954 Biol. repl. 2,Intensity HCC1954 Biol. repl. 3,Intensity HCC1954 Biol. repl. 4,Intensity JIMT1 Biol. repl. 1,Intensity JIMT1 Biol. repl. 2,Intensity JIMT1 Biol. repl. 3,Intensity JIMT1 Biol. repl. 4,Intensity SKBR3 Biol. repl. 1,Intensity SKBR3 Biol. repl. 2,Intensity SKBR3 Biol. repl. 3,Intensity SKBR3 Biol. repl. 4,Intensity MCF7 Biol. repl. 1,Intensity MCF7 Biol. repl. 2,Intensity MCF7 Biol. repl. 3,Intensity MCF7 Biol. repl. 4,Intensity MCF10A Biol. repl. 1,Intensity MCF10A Biol. repl. 2,Intensity MCF10A Biol. repl. 3,Intensity MCF10A Biol. repl. 4,ANOVA Significant
,MDAMB231,MDAMB231,MDAMB231,MDAMB231,LM2,LM2,LM2,LM2,BT549,BT549,BT549,BT549,Hs578T,Hs578T,Hs578T,Hs578T,HCC1419,HCC1419,HCC1419,HCC1419,HCC1954,HCC1954,HCC1954,HCC1954,JIMT1,JIMT1,JIMT1,JIMT1,SKBR3,SKBR3,SKBR3,SKBR3,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
P19387,-5.595472,-2.236284,-1.536171,-3.816997,-5.552113,-4.341844,-4.395368,-6.545949,-4.960741,-4.596719,-4.569879,-6.301095,-4.031923,-4.19616,-4.316793,-5.209649,-1.415167,-2.656399,-1.527479,-1.677376,-0.1444359,-0.270998,-0.4926167,0.1379185,-4.382846,-5.892542,-4.736072,-4.925012,-5.033117,-6.632469,-0.9033184,-1.322786,0.2400475,-0.0507164,-1.717558,-4.32936,-3.951277,-1.660967,-0.4053078,-1.914045,
P19388,-5.322544,-1.878754,-4.186069,-4.831362,-6.058486,-4.724366,-5.175163,-5.83473,-1.745031,-5.426961,-4.098948,-4.226208,-5.576821,-5.914481,-5.925022,-4.996225,-0.3644543,-1.011606,0.4544945,-4.915452,-0.5808239,-0.2951546,-1.142576,-0.2232819,-0.2804737,-2.266441,-0.4733543,-2.222111,0.824173,0.2498188,0.1253223,0.8458138,-4.846889,-1.55122,-1.290079,-1.573082,-5.20937,-4.60212,-4.205352,-3.113904,+
P19404,-5.49679,-5.5595,-3.377773,-5.327795,-5.802082,-3.233428,-4.92669,-4.0782,-5.122688,-4.789963,-5.371355,-3.394143,-5.211128,-4.777174,-5.031421,-6.077558,-4.225027,-2.972858,-3.066663,-4.669528,-1.488762,-2.951908,-2.906992,-2.715967,-3.801806,-5.332377,-5.548257,-3.576633,-6.046632,-5.387883,-4.222747,-3.19006,-4.186531,-2.118694,-3.553411,-5.316399,-1.78252,-4.056946,-0.6978912,-1.537413,+
P19438,-2.584368,-4.758041,-4.859829,2.605967,2.602587,3.301634,2.721479,2.461966,-2.43432,-0.8873615,-1.335331,-1.832296,2.65267,3.514975,1.455242,4.021816,1.163115,1.639059,-4.707311,1.387339,-2.593191,1.68004,-0.1975193,1.352871,-3.865658,-4.366329,2.211845,2.293751,1.638849,-4.753213,2.286375,2.590212,-4.83207,-4.219499,-1.253691,3.857655,3.099968,2.228868,0.08238983,0.9882011,
P19440,-5.081656,-6.006169,-2.106274,-2.745377,-5.082901,-4.231964,-4.021645,-6.764652,-4.775234,-3.640554,-3.429221,-4.393452,-4.684877,-4.49758,-4.086471,-4.62469,5.257395,5.047756,5.031837,5.239908,-0.03351021,-2.537165,-1.785404,-2.551315,-4.940684,-5.861941,-4.900567,-3.821151,4.231936,3.992397,4.559547,4.798725,-1.401766,0.1559372,-3.765132,0.07333374,-2.593246,-6.133288,-4.494608,-4.639499,+
P19525,-1.025642,-1.94578,-2.009569,-1.907934,-3.583581,-1.828196,-5.384476,-2.743311,-2.112043,-1.703089,-1.202431,-1.268171,-6.15284,-1.674887,-1.873951,-4.538388,-0.07484627,-1.37974,-1.22732,-2.574308,1.92819,1.63401,1.83795,1.703449,1.940825,1.528051,1.983175,1.806534,-2.300724,-0.9482079,-0.9045238,-0.6868305,-0.4669132,-1.666048,-0.5471458,-0.448164,-3.154615,-1.884724,-2.169582,-0.9293842,+
P19623,0.0182991,-0.214735,-0.2731953,-0.2904167,-1.09309,-1.08605,-0.8095322,0.2017689,1.405975,0.8002262,1.353262,0.3062801,1.424131,0.9070053,1.233875,1.00119,1.734274,1.856066,1.413757,1.660326,2.21961,2.025719,1.612963,1.46892,1.669605,1.060522,1.333622,1.009472,2.569628,2.198193,1.981356,2.120239,-1.739481,-4.109304,0.08724213,-6.07523,-2.42252,0.4616947,0.4423752,0.9944916,+
P19634,-0.7549591,-0.94454,-3.456387,-3.896929,-3.93103,-4.122775,-3.084568,-4.918897,-4.031119,-2.163883,-5.469003,-3.40435,-5.428161,-6.803339,-4.792673,-4.20762,0.7395077,1.709591,1.546848,1.321213,-0.853981,-2.159542,-1.499613,-1.011185,-2.475248,-4.721011,-1.467611,-4.212929,0.8120918,0.925827,-0.3102589,-0.146225,-0.4475403,-0.3473339,-0.2817097,-0.333147,-3.099018,-1.779766,-2.080631,-1.709526,+
P19784,0.6676292,0.0597477,1.783485,1.604807,-1.112104,-2.346676,-0.9134998,-1.545162,-1.461887,-1.183483,-1.389847,-1.324541,-3.354778,-1.996815,-1.741194,-6.423246,0.4160442,0.5977039,0.4314518,0.7769356,2.155674,1.909081,1.734247,1.904654,2.759192,1.929163,1.248192,2.351938,1.646292,0.4261665,0.3894615,1.214705,1.608801,1.665922,0.9643841,1.121157,1.073561,1.808306,1.70002,1.003574,+
P19801,-0.7468243,-3.18294,-1.120661,-2.828024,-4.51989,-5.03449,-4.827576,-4.450696,-4.976267,-3.949701,-3.200588,-4.887993,-5.267215,-4.50721,-4.358858,-6.143943,-5.151702,-3.796002,-4.673463,-5.434819,-4.378654,-5.266395,-3.84435,-4.451249,-4.736383,-4.669518,-4.137995,-4.914496,-6.835922,-5.123318,-3.333933,-4.449765,-5.802379,-5.444867,-3.874499,-5.769111,-6.004663,-2.759882,-4.866579,-3.084958,
